pokemon_id,name,type_1,type_2,total,hp,attack,defense,sp_atk,sp_def,speed,stage,legendary,power_score
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False,143
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,2,False,185
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,3,False,245
4,Charmander,Fire,None,309,39,52,43,60,50,65,1,False,160
5,Charmeleon,Fire,None,405,58,64,58,80,65,80,2,False,202
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,3,False,262
7,Squirtle,Water,None,314,44,48,65,50,64,43,1,False,156
8,Wartortle,Water,None,405,59,63,80,65,80,58,2,False,201
9,Blastoise,Water,None,530,79,83,100,85,105,78,3,False,261
10,Caterpie,Bug,None,195,45,30,35,20,20,45,1,False,110
11,Metapod,Bug,None,205,50,20,55,25,25,30,2,False,105
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,3,False,165
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False,115
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,2,False,110
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,3,False,205
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False,141
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,2,False,186
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,3,False,256
19,Rattata,Normal,None,253,30,56,35,25,35,72,1,False,163
20,Raticate,Normal,None,413,55,81,60,50,70,97,2,False,238
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False,160
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,2,False,255
23,Ekans,Poison,None,288,35,60,44,40,54,55,1,False,159
24,Arbok,Poison,None,438,60,85,69,65,79,80,2,False,234
25,Pikachu,Electric,None,320,35,55,40,50,50,90,1,False,185
26,Raichu,Electric,None,485,60,90,55,90,80,110,2,False,255
27,Sandshrew,Ground,None,300,50,75,85,20,30,40,1,False,200
28,Sandslash,Ground,None,450,75,100,110,45,55,65,2,False,275
29,Nidoran‰ªÛ,Poison,None,275,55,47,52,40,40,41,1,False,140
30,Nidorina,Poison,None,365,70,62,67,55,55,56,2,False,185
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,3,False,255
32,Nidoran‰ªâ,Poison,None,273,46,57,40,40,40,50,1,False,147
33,Nidorino,Poison,None,365,61,72,57,55,55,65,2,False,194
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,3,False,264
35,Clefairy,Fairy,None,323,70,45,48,60,65,35,1,False,128
36,Clefable,Fairy,None,483,95,70,73,95,90,60,2,False,203
37,Vulpix,Fire,None,299,38,41,40,50,65,65,1,False,146
38,Ninetales,Fire,None,505,73,76,75,81,100,100,2,False,251
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,False,85
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,2,False,160
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,False,135
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,2,False,240
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,False,135
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,2,False,175
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,3,False,215
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,False,150
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,2,False,205
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,False,150
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,2,False,215
50,Diglett,Ground,None,265,10,55,25,35,45,95,1,False,175
51,Dugtrio,Ground,None,405,35,80,50,50,70,120,2,False,250
52,Meowth,Normal,None,290,40,45,35,40,40,90,1,False,170
53,Persian,Normal,None,440,65,70,60,65,65,115,2,False,245
54,Psyduck,Water,None,320,50,52,48,65,50,55,1,False,155
55,Golduck,Water,None,500,80,82,78,95,80,85,2,False,245
56,Mankey,Fighting,None,305,40,80,35,35,45,70,1,False,185
57,Primeape,Fighting,None,455,65,105,60,60,70,95,2,False,260
58,Growlithe,Fire,None,350,55,70,45,70,50,60,1,False,175
59,Arcanine,Fire,None,555,90,110,80,100,80,95,2,False,285
60,Poliwag,Water,None,300,40,50,40,40,40,90,1,False,180
61,Poliwhirl,Water,None,385,65,65,65,50,50,90,2,False,220
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,3,False,260
63,Abra,Psychic,None,310,25,20,15,105,55,90,1,False,125
64,Kadabra,Psychic,None,400,40,35,30,120,70,105,2,False,170
65,Alakazam,Psychic,None,500,55,50,45,135,95,120,3,False,215
66,Machop,Fighting,None,305,70,80,50,35,35,35,1,False,165
67,Machoke,Fighting,None,405,80,100,70,50,60,45,2,False,215
68,Machamp,Fighting,None,505,90,130,80,65,85,55,3,False,265
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,False,150
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,2,False,195
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,3,False,240
